id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
3948,CDS,cde_fo,GBPINR,6063,OPTCUR,PE,102.25,GBPINR28MARCH23102.25PE,GBPINR23MAR102.25PE,GBPINR 28MAR23 102.25 PE,28-03-2023,1,0.0025
3949,CDS,cde_fo,GBPINR,6064,OPTCUR,CE,102.5,GBPINR28MARCH23102.5CE,GBPINR23MAR102.5CE,GBPINR 28MAR23 102.5 CE,28-03-2023,1,0.0025
3950,CDS,cde_fo,GBPINR,6065,OPTCUR,PE,102.5,GBPINR28MARCH23102.5PE,GBPINR23MAR102.5PE,GBPINR 28MAR23 102.5 PE,28-03-2023,1,0.0025
3951,CDS,cde_fo,GBPINR,6066,OPTCUR,CE,102.75,GBPINR28MARCH23102.75CE,GBPINR23MAR102.75CE,GBPINR 28MAR23 102.75 CE,28-03-2023,1,0.0025
3952,CDS,cde_fo,GBPINR,6067,OPTCUR,PE,102.75,GBPINR28MARCH23102.75PE,GBPINR23MAR102.75PE,GBPINR 28MAR23 102.75 PE,28-03-2023,1,0.0025
3953,CDS,cde_fo,GBPINR,6068,OPTCUR,CE,103,GBPINR28MARCH23103CE,GBPINR23MAR103CE,GBPINR 28MAR23 103 CE,28-03-2023,1,0.0025
3954,CDS,cde_fo,GBPINR,6069,OPTCUR,PE,103,GBPINR28MARCH23103PE,GBPINR23MAR103PE,GBPINR 28MAR23 103 PE,28-03-2023,1,0.0025
3955,CDS,cde_fo,EURINR,6070,OPTCUR,PE,92.5,EURINR28MARCH2392.5PE,EURINR23MAR92.5PE,EURINR 28MAR23 92.5 PE,28-03-2023,1,0.0025
3956,CDS,cde_fo,GBPINR,6071,OPTCUR,CE,99,GBPINR03FEBRUARY2399CE,GBPINR2320399CE,GBPINR 03FEB23 99 CE,03-02-2023,1,0.0025
3957,CDS,cde_fo,GBPINR,6072,OPTCUR,PE,99,GBPINR03FEBRUARY2399PE,GBPINR2320399PE,GBPINR 03FEB23 99 PE,03-02-2023,1,0.0025
3958,CDS,cde_fo,JPYINR,6073,OPTCUR,PE,59.25,JPYINR26APRIL2359.25PE,JPYINR23APR59.25PE,JPYINR 26APR23 59.25 PE,26-04-2023,1,0.0025
3959,CDS,cde_fo,JPYINR,6074,OPTCUR,CE,59.5,JPYINR26APRIL2359.5CE,JPYINR23APR59.5CE,JPYINR 26APR23 59.5 CE,26-04-2023,1,0.0025
3960,CDS,cde_fo,GBPINR,6075,OPTCUR,PE,99.5,GBPINR27DECEMBER2399.5PE,GBPINR23DEC99.5PE,GBPINR 27DEC23 99.5 PE,27-12-2023,1,0.0025
3961,CDS,cde_fo,GBPINR,6076,OPTCUR,CE,99.75,GBPINR27DECEMBER2399.75CE,GBPINR23DEC99.75CE,GBPINR 27DEC23 99.75 CE,27-12-2023,1,0.0025
3962,CDS,cde_fo,GBPINR,6077,OPTCUR,PE,99.75,GBPINR27DECEMBER2399.75PE,GBPINR23DEC99.75PE,GBPINR 27DEC23 99.75 PE,27-12-2023,1,0.0025
3963,CDS,cde_fo,GBPINR,6078,OPTCUR,CE,100,GBPINR27DECEMBER23100CE,GBPINR23DEC100CE,GBPINR 27DEC23 100 CE,27-12-2023,1,0.0025
3964,CDS,cde_fo,USDJPY,6079,OPTCUR,CE,158.5,USDJPY28MARCH23158.5CE,USDJPY23MAR158.5CE,USDJPY 28MAR23 158.5 CE,28-03-2023,1,0.01
3965,CDS,cde_fo,USDJPY,6080,OPTCUR,PE,158.5,USDJPY28MARCH23158.5PE,USDJPY23MAR158.5PE,USDJPY 28MAR23 158.5 PE,28-03-2023,1,0.01
3966,CDS,cde_fo,JPYINR,6081,OPTCUR,CE,49.75,JPYINR03FEBRUARY2349.75CE,JPYINR2320349.75CE,JPYINR 03FEB23 49.75 CE,03-02-2023,1,0.0025
3967,CDS,cde_fo,GBPINR,6082,OPTCUR,CE,103.25,GBPINR28MARCH23103.25CE,GBPINR23MAR103.25CE,GBPINR 28MAR23 103.25 CE,28-03-2023,1,0.0025
3968,CDS,cde_fo,GBPINR,6083,OPTCUR,PE,103.25,GBPINR28MARCH23103.25PE,GBPINR23MAR103.25PE,GBPINR 28MAR23 103.25 PE,28-03-2023,1,0.0025
3969,CDS,cde_fo,GBPINR,6084,OPTCUR,CE,103.5,GBPINR28MARCH23103.5CE,GBPINR23MAR103.5CE,GBPINR 28MAR23 103.5 CE,28-03-2023,1,0.0025
3970,CDS,cde_fo,GBPINR,6085,OPTCUR,PE,103.5,GBPINR28MARCH23103.5PE,GBPINR23MAR103.5PE,GBPINR 28MAR23 103.5 PE,28-03-2023,1,0.0025
